"CubeId";"snboffzisa"
"PublishingDate";"2026-02-23 09:00"

"Date";"D0";"Value"
"2020-08";"LZ";"-0.75"
"2020-08";"UG0";
"2020-08";"OG0";
"2020-09";"LZ";"-0.75"
"2020-09";"UG0";
"2020-09";"OG0";
"2020-10";"LZ";"-0.75"
"2020-10";"UG0";
"2020-10";"OG0";
"2020-11";"LZ";"-0.75"
"2020-11";"UG0";
"2020-11";"OG0";
"2020-12";"LZ";"-0.75"
"2020-12";"UG0";
"2020-12";"OG0";
"2021-01";"LZ";"-0.75"
"2021-01";"UG0";
"2021-01";"OG0";
"2021-02";"LZ";"-0.75"
"2021-02";"UG0";
"2021-02";"OG0";
"2021-03";"LZ";"-0.75"
"2021-03";"UG0";
"2021-03";"OG0";
"2021-04";"LZ";"-0.75"
"2021-04";"UG0";
"2021-04";"OG0";
"2021-05";"LZ";"-0.75"
"2021-05";"UG0";
"2021-05";"OG0";
"2021-06";"LZ";"-0.75"
"2021-06";"UG0";
"2021-06";"OG0";
"2021-07";"LZ";"-0.75"
"2021-07";"UG0";
"2021-07";"OG0";
"2021-08";"LZ";"-0.75"
"2021-08";"UG0";
"2021-08";"OG0";
"2021-09";"LZ";"-0.75"
"2021-09";"UG0";
"2021-09";"OG0";
"2021-10";"LZ";"-0.75"
"2021-10";"UG0";
"2021-10";"OG0";
"2021-11";"LZ";"-0.75"
"2021-11";"UG0";
"2021-11";"OG0";
"2021-12";"LZ";"-0.75"
"2021-12";"UG0";
"2021-12";"OG0";
"2022-01";"LZ";"-0.75"
"2022-01";"UG0";
"2022-01";"OG0";
"2022-02";"LZ";"-0.75"
"2022-02";"UG0";
"2022-02";"OG0";
"2022-03";"LZ";"-0.75"
"2022-03";"UG0";
"2022-03";"OG0";
"2022-04";"LZ";"-0.75"
"2022-04";"UG0";
"2022-04";"OG0";
"2022-05";"LZ";"-0.75"
"2022-05";"UG0";
"2022-05";"OG0";
"2022-06";"LZ";"-0.25"
"2022-06";"UG0";
"2022-06";"OG0";
"2022-07";"LZ";"-0.25"
"2022-07";"UG0";
"2022-07";"OG0";
"2022-08";"LZ";"-0.25"
"2022-08";"UG0";
"2022-08";"OG0";
"2022-09";"LZ";"0.5"
"2022-09";"UG0";
"2022-09";"OG0";
"2022-10";"LZ";"0.5"
"2022-10";"UG0";
"2022-10";"OG0";
"2022-11";"LZ";"0.5"
"2022-11";"UG0";
"2022-11";"OG0";
"2022-12";"LZ";"1"
"2022-12";"UG0";
"2022-12";"OG0";
"2023-01";"LZ";"1"
"2023-01";"UG0";
"2023-01";"OG0";
"2023-02";"LZ";"1"
"2023-02";"UG0";
"2023-02";"OG0";
"2023-03";"LZ";"1.5"
"2023-03";"UG0";
"2023-03";"OG0";
"2023-04";"LZ";"1.5"
"2023-04";"UG0";
"2023-04";"OG0";
"2023-05";"LZ";"1.5"
"2023-05";"UG0";
"2023-05";"OG0";
"2023-06";"LZ";"1.75"
"2023-06";"UG0";
"2023-06";"OG0";
"2023-07";"LZ";"1.75"
"2023-07";"UG0";
"2023-07";"OG0";
"2023-08";"LZ";"1.75"
"2023-08";"UG0";
"2023-08";"OG0";
"2023-09";"LZ";"1.75"
"2023-09";"UG0";
"2023-09";"OG0";
"2023-10";"LZ";"1.75"
"2023-10";"UG0";
"2023-10";"OG0";
"2023-11";"LZ";"1.75"
"2023-11";"UG0";
"2023-11";"OG0";
"2023-12";"LZ";"1.75"
"2023-12";"UG0";
"2023-12";"OG0";
"2024-01";"LZ";"1.75"
"2024-01";"UG0";
"2024-01";"OG0";
"2024-02";"LZ";"1.75"
"2024-02";"UG0";
"2024-02";"OG0";
"2024-03";"LZ";"1.5"
"2024-03";"UG0";
"2024-03";"OG0";
"2024-04";"LZ";"1.5"
"2024-04";"UG0";
"2024-04";"OG0";
"2024-05";"LZ";"1.5"
"2024-05";"UG0";
"2024-05";"OG0";
"2024-06";"LZ";"1.25"
"2024-06";"UG0";
"2024-06";"OG0";
"2024-07";"LZ";"1.25"
"2024-07";"UG0";
"2024-07";"OG0";
"2024-08";"LZ";"1.25"
"2024-08";"UG0";
"2024-08";"OG0";
"2024-09";"LZ";"1"
"2024-09";"UG0";
"2024-09";"OG0";
"2024-10";"LZ";"1"
"2024-10";"UG0";
"2024-10";"OG0";
"2024-11";"LZ";"1"
"2024-11";"UG0";
"2024-11";"OG0";
"2024-12";"LZ";"0.5"
"2024-12";"UG0";
"2024-12";"OG0";
"2025-01";"LZ";"0.5"
"2025-01";"UG0";
"2025-01";"OG0";
"2025-02";"LZ";"0.5"
"2025-02";"UG0";
"2025-02";"OG0";
"2025-03";"LZ";"0.25"
"2025-03";"UG0";
"2025-03";"OG0";
"2025-04";"LZ";"0.25"
"2025-04";"UG0";
"2025-04";"OG0";
"2025-05";"LZ";"0.25"
"2025-05";"UG0";
"2025-05";"OG0";
"2025-06";"LZ";"0"
"2025-06";"UG0";
"2025-06";"OG0";
"2025-07";"LZ";"0"
"2025-07";"UG0";
