"Année","Canton","Nationalité (catégorie)","Sexe","Âge","Immigration, y compris les changements de type de population"
"1995","Bern / Berne","Étranger","Sexe - total","Âge - total",6885
"1995","Luzern","Étranger","Sexe - total","Âge - total",3528
"1995","Uri","Étranger","Sexe - total","Âge - total",306
"1995","Schwyz","Étranger","Sexe - total","Âge - total",1261
"1995","Obwalden","Étranger","Sexe - total","Âge - total",345
"1995","Nidwalden","Étranger","Sexe - total","Âge - total",447
"1995","Glarus","Étranger","Sexe - total","Âge - total",319
"1995","Zug","Étranger","Sexe - total","Âge - total",1053
"1995","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",2868
"1995","Solothurn","Étranger","Sexe - total","Âge - total",2204
"1995","Basel-Stadt","Étranger","Sexe - total","Âge - total",3256
"1995","Basel-Landschaft","Étranger","Sexe - total","Âge - total",2092
"1995","Schaffhausen","Étranger","Sexe - total","Âge - total",727
"1995","Appenzell Ausserrhoden","Étranger","Sexe - total","Âge - total",424
"1995","Appenzell Innerrhoden","Étranger","Sexe - total","Âge - total",136
"1995","St. Gallen","Étranger","Sexe - total","Âge - total",4543
"1995","Graubünden / Grigioni / Grischun","Étranger","Sexe - total","Âge - total",2271
"1995","Aargau","Étranger","Sexe - total","Âge - total",5099
"1995","Thurgau","Étranger","Sexe - total","Âge - total",2394
"1995","Ticino","Étranger","Sexe - total","Âge - total",4731
"1995","Vaud","Étranger","Sexe - total","Âge - total",11451
"1995","Valais / Wallis","Étranger","Sexe - total","Âge - total",3937
"1995","Neuchâtel","Étranger","Sexe - total","Âge - total",1967
"1995","Genève","Étranger","Sexe - total","Âge - total",12365
"1995","Jura","Étranger","Sexe - total","Âge - total",581
"1995","Sans indication","Étranger","Sexe - total","Âge - total",0
"1996","Suisse","Étranger","Sexe - total","Âge - total",74359
"1996","Zürich","Étranger","Sexe - total","Âge - total",13875
"1996","Bern / Berne","Étranger","Sexe - total","Âge - total",6426
"1996","Luzern","Étranger","Sexe - total","Âge - total",2795
"1996","Uri","Étranger","Sexe - total","Âge - total",246
"1996","Schwyz","Étranger","Sexe - total","Âge - total",821
"1996","Obwalden","Étranger","Sexe - total","Âge - total",269
"1996","Nidwalden","Étranger","Sexe - total","Âge - total",305
"1996","Glarus","Étranger","Sexe - total","Âge - total",276
"1996","Zug","Étranger","Sexe - total","Âge - total",969
"1996","Fribourg / Freiburg","Étranger","Sexe - total","Âge - total",2755
"1996","Solothurn","Étranger","Sexe - total","Âge - total",1523
